twitter source account,Tweets ago,Date,Compound,Negative,Positive,Neutral,tweet_text
@Fox,50,Wed May 13 02:36:48 +0000 2020,0.8168,0.0,0.263,0.737,"@NatDudley omgmgmgmgmgmg yes!! i still remember when i went to see nanette at MICF; one of my first, and the best e… https://t.co/KNWtuMNvak"
@Fox,49,Wed May 13 02:38:02 +0000 2020,-0.34,0.118,0.0,0.882,"the obsession with tooling (incl. frameworks) is deeply rooted in tech. 

it’s also constantly weaponised to talk p… https://t.co/boCYtXGtJT"
@Fox,48,Wed May 13 06:04:33 +0000 2020,0.0,0.0,0.0,1.0,"everything about this is golden.

https://t.co/WHoNBbEnS6"
@Fox,47,Wed May 13 06:09:06 +0000 2020,-0.2411,0.116,0.0,0.884,"@the_patima internally: never. your designer perfectionism and impostor syndrome won’t let u.
externally: never. th… https://t.co/5gi4de60QI"
@Fox,46,Wed May 13 06:12:46 +0000 2020,-0.6652,0.19,0.0,0.81,"@the_patima but, tbh, I am sick of those debates who’s real or not. they’re all gatekeeping people (usually minorit… https://t.co/ge18a8SEuP"
@Fox,45,Thu May 14 01:34:52 +0000 2020,0.0,0.0,0.0,1.0,"RT @venikunche: white women != diversity

Having just white women does not make your team or your event diverse."
@Fox,44,Thu May 14 02:37:36 +0000 2020,0.296,0.0,0.099,0.901,we’ve been quietly testing @____lighthouse 6 beta for a few months and will be running the stable version right aft… https://t.co/nn8gC3xuzj
@Fox,43,Thu May 14 08:57:15 +0000 2020,0.0,0.0,0.0,1.0,@glenmaddern singapore?? 🙃
@Fox,42,Fri May 15 00:10:03 +0000 2020,0.0,0.0,0.0,1.0,"RT @humanworkplace: Your job title does not define you

Your salary does not define you

You are righteous with or without a job

Don’t let…"
@Fox,41,Fri May 15 00:33:28 +0000 2020,0.0,0.0,0.0,1.0,@csswizardry https://t.co/o4a1RleD2N
@Fox,40,Fri May 15 01:53:42 +0000 2020,0.8271,0.0,0.283,0.717,"I had a responsible, socially distanced coffee walk with a friend today (👋🏻 @eleanorkh). First time in two months.… https://t.co/iiqOLRkRMq"
@Fox,39,Fri May 15 02:40:18 +0000 2020,0.0,0.0,0.0,1.0,@eleanorkh and fashionable
@Fox,38,Fri May 15 04:38:02 +0000 2020,0.7964,0.054,0.229,0.716,@alexgoffey aaahhh 🤤 I have been wondering if I should buy their book. their cakes are the best (and the most luxurious 😂)
@Fox,37,Fri May 15 09:56:27 +0000 2020,0.0,0.0,0.0,1.0,@dotmariusz woah. we have 15-25 cases a day for the whole country and only now some of the restaurants in some stat… https://t.co/IMqs2bIs93
@Fox,36,Fri May 15 10:54:01 +0000 2020,0.5106,0.0,0.264,0.736,@benschwarz @MelissaKaulfuss here it is; ask me anything you want to know :) https://t.co/55HQrCEKeO
