twitter source account,Tweets ago,Date,Compound,Negative,Positive,Neutral,tweet_text
@nytimes,36,Fri May 22 05:30:09 +0000 2020,0.0772,0.096,0.151,0.753,An organization working to prevent pandemics lost its federal grant to work in China. A group of 77 Nobel laureates… https://t.co/JKNd18OdaR
@nytimes,35,Fri May 22 05:45:02 +0000 2020,-0.5423,0.137,0.0,0.863,RT @palafo: The Federal Bureau of Investigation said Thursday that it had opened an investigation into the fatal shooting of a black woman…
@nytimes,34,Fri May 22 06:00:09 +0000 2020,0.0,0.0,0.0,1.0,"Since early December and as recently as last week, TikTok stars hailing from all around the U.S. have snatched up h… https://t.co/3s9pQWOFib"
@nytimes,33,Fri May 22 06:20:01 +0000 2020,0.7783,0.0,0.264,0.736,"RT @BenWeiserNYT: ""The curfew has offered new moments of breathtaking beauty."" In Istanbul Under Lockdown by @carlottagall with photos by @…"
@nytimes,32,Fri May 22 06:40:05 +0000 2020,0.1154,0.0,0.068,0.932,Facebook said on Thursday that it would allow many employees to work from home permanently. But there’s a catch: Th… https://t.co/hmnkGiTbWk
@nytimes,31,Fri May 22 06:54:04 +0000 2020,0.2732,0.0,0.104,0.896,The British government agreed to scrap a policy that requires staff from overseas in the country’s National Health… https://t.co/Oa3ubhpd4G
@nytimes,30,Fri May 22 07:00:06 +0000 2020,0.0,0.0,0.0,1.0,Europe morning briefing: Here's what you need to know to start your day https://t.co/5fzvKA2r3Z
@nytimes,29,Fri May 22 07:30:07 +0000 2020,0.0,0.0,0.0,1.0,RT @motokorich: The Tokyo Games will happen in July and August of 2021 or they will not happen at all. With @mattfutterman https://t.co/rY2…
@nytimes,28,Fri May 22 07:40:03 +0000 2020,0.0,0.0,0.0,1.0,"RT @BellaKwai: Beer with Bella is back! Our latest guest is former prime minister Malcolm Turnbull who spills some tea on Trump, the ""terro…"
@nytimes,27,Fri May 22 07:50:03 +0000 2020,0.0,0.0,0.0,1.0,"Gui Khury owned a skateboard before he was even born. This month, the 11-year-old became the first skateboarder to… https://t.co/DjQrCKsKZj"
@nytimes,26,Fri May 22 08:00:06 +0000 2020,0.7184,0.0,0.318,0.682,"Earlier this month, Samy Kamkar shared his latest creation on Twitter: chocolate that shimmers like a rainbow. https://t.co/zPWRo8OKS4"
@nytimes,25,Fri May 22 08:10:01 +0000 2020,0.0,0.0,0.0,1.0,"RT @salmanmasood: In parts of India and Pakistan, conditions during the hotter months could make the virus less than half as likely to infe…"
@nytimes,24,Fri May 22 08:20:07 +0000 2020,-0.5823,0.178,0.0,0.822,"“You can make money no matter if the price rises or falls,” said an ad for Bank of China's crude oil investment pro… https://t.co/i8VBLCPXxU"
@nytimes,23,Fri May 22 08:40:05 +0000 2020,0.7579,0.0,0.333,0.667,"On Thursday, China proposed security laws that could effectively subvert Hong Kong’s remaining freedoms and bring i… https://t.co/m8wabQlJZr"
@nytimes,22,Fri May 22 09:00:18 +0000 2020,0.7351,0.0,0.237,0.763,"Nita Pippins moved to New York to care for her dyings on. Instead of returning home, she dedicated herself to AIDS… https://t.co/rG0pn5Kvvy"
@nytimes,21,Fri May 22 09:20:05 +0000 2020,0.3818,0.0,0.12,0.88,"In Opinion

Sonia Faleiro writes: The British government has sent out a clear message: ""The work of ethnic minoriti… https://t.co/lXZfgF3iq8"
@nytimes,20,Fri May 22 09:40:04 +0000 2020,0.7251,0.0,0.242,0.758,"The Chinese government unveiled a plan to take a stronger, more direct hand in Hong Kong’s affairs. For many pro-de… https://t.co/TrTcLKZvDB"
@nytimes,19,Fri May 22 10:00:07 +0000 2020,-0.1027,0.21,0.194,0.595,Saudi officials trying to pressure a former top intelligence official to return to Saudi Arabia have arrested sever… https://t.co/1LJmfzDzHz
@nytimes,18,Fri May 22 10:20:06 +0000 2020,0.4168,0.0,0.122,0.878,A U.K. police watchdog said it would not conduct a criminal inquiry into Boris Johnson over claims that as London's… https://t.co/e4sALrp17A
@nytimes,17,Fri May 22 10:40:03 +0000 2020,-0.5994,0.224,0.0,0.776,"Asian markets overall fell on Friday, with Hong Kong’s drop outpacing others, on coronavirus worries and the prospe… https://t.co/pcuE6RvsSi"
@nytimes,16,Fri May 22 11:00:13 +0000 2020,0.0,0.0,0.0,1.0,RT @jimrutenberg: NEW: Questions about Tara Reade’s education credentials cause attorneys to review her work as expert witnesses in domesti…
@nytimes,15,Fri May 22 11:08:12 +0000 2020,0.0258,0.0,0.058,0.942,Breaking News: A Pakistan International Airlines plane with at least 91 people aboard crashed in a residential area… https://t.co/qdw62rN2MS
@nytimes,14,Fri May 22 11:19:26 +0000 2020,0.3612,0.0,0.094,0.906,"RT @ditzkoff: My profile of Steve Carell and the making of his Netflix series Space Force, his first comedy show since The Office. What his…"
@nytimes,13,Fri May 22 11:30:09 +0000 2020,0.0,0.0,0.0,1.0,The Tokyo Olympic Games will happen in July and August of 2021 or they will not happen at all. A spokesman for the… https://t.co/rcKLeBHwBy
@nytimes,12,Fri May 22 11:33:04 +0000 2020,0.0,0.0,0.0,1.0,"A Mississippi church that defied coronavirus restrictions has burned to the ground. 

Graffiti at the scene that re… https://t.co/TFwfs4ePjt"
@nytimes,11,Fri May 22 11:45:03 +0000 2020,0.6249,0.0,0.212,0.788,"""Most of us are quiet enough to hear the gentle voice.”

In Quaker worship, members sit together in silence, waitin… https://t.co/3L0jO0evSs"
@nytimes,10,Fri May 22 11:53:50 +0000 2020,0.0,0.0,0.0,1.0,"For today, May 22, here’s how to follow the latest on the coronavirus outbreak. 

🌎 Live updates from around the wo… https://t.co/MAt1LBQS36"
@nytimes,9,Fri May 22 12:00:06 +0000 2020,-0.4404,0.16,0.093,0.747,A son of the Saudi writer Jamal Khashoggi said that he and his siblings had forgiven the men who killed their fathe… https://t.co/PDJBQEEWH0
@nytimes,8,Fri May 22 12:20:08 +0000 2020,-0.4019,0.137,0.0,0.863,"Since the coronavirus pandemic began, tensions have repeatedly flared over whether too many New York City residents… https://t.co/JcFIoQywCe"
@nytimes,7,Fri May 22 12:40:05 +0000 2020,0.3182,0.0,0.113,0.887,"With Joe Biden actively considering Elizabeth Warren to be his running mate, their ideological differences — and wh… https://t.co/BTnsexWO2I"
@nytimes,6,Fri May 22 13:00:12 +0000 2020,0.0,0.0,0.0,1.0,"In Opinion

“The public square is thick today with augurs and prophets,” writes Mark Lilla. “But the post-Covid fut… https://t.co/XYjDg2PFBb"
@nytimes,5,Fri May 22 13:20:05 +0000 2020,0.0,0.0,0.0,1.0,"With an assist from the king, Malaysian politicians from the old government are back in power in a new coalition. M… https://t.co/ILKZFg5jN7"
@nytimes,4,Fri May 22 13:40:05 +0000 2020,-0.4404,0.155,0.073,0.773,"Wilson Jerman, who served 11 U.S. presidents as a cleaner, butler and elevator operator, died on Saturday in Virgin… https://t.co/EShm2CGEP0"
@nytimes,3,Fri May 22 13:47:38 +0000 2020,0.0,0.0,0.0,1.0,"RT @KassieBracken: As a kid, I spent summers with my grandmother in the Rockaways — still have family there. As N.Y.C. Covid cases grew, I…"
@nytimes,2,Fri May 22 14:00:17 +0000 2020,-0.7469,0.203,0.0,0.797,"Hazel Ying Lee and Maggie Gee never met, but as the only 2 Chinese-American women pilots during World War II, their… https://t.co/QNsxlCcUKB"
@nytimes,1,Fri May 22 14:20:03 +0000 2020,0.0,0.161,0.119,0.72,"""I miss the applause, the tent, the colors of the lights. Everything is missing.""

One of Italy’s famous family-own… https://t.co/UNR6HLJgpT"
